exp_id,num_assets,num_portfolios,risk_aversion,ansatz_reps,quantum_return,quantum_risk,quantum_sharpe,classical_return,classical_risk,classical_sharpe,vqe_runtime_sec,depth,parameters
n16_p50_r3_a8,16,50,0.8,3,0.4682731149012568,1.9486049841225295,0.23518009993576014,0.29728489052059504,0.7628505431207078,0.37659393849987366,3.51,17,0
n16_p100_r2_a3,16,100,0.3,2,0.4759906092533211,1.9911914452776038,0.2340260201290462,0.32782625440815183,0.9352210504324755,0.3398407833754159,3.745,17,0
n16_p100_r2_a5,16,100,0.5,2,0.4704412426834759,1.9580826367080364,0.23514903510792476,0.32782625440815183,0.9352210504324755,0.3398407833754159,3.754,17,0
n16_p100_r2_a8,16,100,0.8,2,0.3960587812331476,1.5633636216093223,0.24694113122303543,0.32782625440815183,0.9352210504324755,0.3398407833754159,3.847,17,0
n16_p100_r3_a3,16,100,0.3,3,0.4452871870397644,1.8199043560823258,0.23918135345134234,0.32782625440815183,0.9352210504324755,0.3398407833754159,3.88,17,0
n16_p100_r3_a5,16,100,0.5,3,0.47325870646766166,1.9655104332962554,0.23569384248485242,0.32782625440815183,0.9352210504324755,0.3398407833754159,3.547,17,0
n16_p100_r3_a8,16,100,0.8,3,0.46943883277216614,1.949526107468107,0.2356669300360638,0.32782625440815183,0.9352210504324755,0.3398407833754159,3.911,17,0
n16_p150_r2_a3,16,150,0.3,2,0.45424833082059013,1.8724594380268589,0.23725391418290245,0.32782625440815183,0.9352210504324755,0.3398407833754159,3.247,17,0
n16_p150_r2_a5,16,150,0.5,2,0.48548614372945054,2.0406906469869246,0.2330025594185502,0.32782625440815183,0.9352210504324755,0.3398407833754159,3.355,17,0
n16_p150_r2_a8,16,150,0.8,2,0.44548281678262697,1.8339376891865018,0.23745780423750298,0.32782625440815183,0.9352210504324755,0.3398407833754159,3.299,17,0
n16_p150_r3_a3,16,150,0.3,3,0.4312740921079327,1.7588744565381518,0.23951345165196833,0.32782625440815183,0.9352210504324755,0.3398407833754159,3.337,17,0
n16_p150_r3_a5,16,150,0.5,3,0.4033308522515817,1.6129588921730997,0.2438567121333494,0.32782625440815183,0.9352210504324755,0.3398407833754159,3.323,17,0
n16_p150_r3_a8,16,150,0.8,3,0.4562880765883377,1.890656748904447,0.23604923360464142,0.32782625440815183,0.9352210504324755,0.3398407833754159,3.289,17,0
n16_p200_r2_a3,16,200,0.3,2,0.459507195813345,1.8966219659233132,0.23700410724417395,0.32782625440815183,0.9352210504324755,0.3398407833754159,3.499,17,0
n16_p200_r2_a5,16,200,0.5,2,0.4077495785727664,1.6297160166823077,0.24406066731950304,0.32782625440815183,0.9352210504324755,0.3398407833754159,3.737,17,0
n16_p200_r2_a8,16,200,0.8,2,0.4529841133533706,1.86483457338712,0.23754606423280406,0.32782625440815183,0.9352210504324755,0.3398407833754159,3.942,17,0
n16_p200_r3_a3,16,200,0.3,3,0.4586975335352662,1.877720072927933,0.2389586925145936,0.32782625440815183,0.9352210504324755,0.3398407833754159,3.577,17,0
n16_p200_r3_a5,16,200,0.5,3,0.4212784760408484,1.7062520919892739,0.24104203474490676,0.32782625440815183,0.9352210504324755,0.3398407833754159,3.913,17,0
n16_p200_r3_a8,16,200,0.8,3,0.4706526648599819,1.9628602668774904,0.23468439024077153,0.32782625440815183,0.9352210504324755,0.3398407833754159,3.634,17,0
